"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O-H32_Brunei","O-H5_Pakistan","O109H51_Pakistan","O16H48_Indonesia","O1H7_Pakistan","O1K1H7_Korea","O25H4_Denmark","O2K1H5_IMT5155_China","O2K1H5_Korea","O36H5_Pakistan","O76_O8H9_China","O78H4_Australia","O78H4_Korea","O78H51_Korea","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US","O82H8_Thailand","O8H25_Laos","O9H21_China"
"lacZ","","beta-galactosidase monomer","21","21","1","52","8286","","","","3074","3074","3074","OH32Brunei_01726","OH5Pakistan_03772","O109H51Pakistan_03998","O16H48Indonesia_00355","O1H7Pakistan_03795","O1K1H7Korea_03855","O25H4Denmark_00831","O2K1H5China_03323","O2K1H5Korea_03935","O36H5Pakistan_03746","O76O8H9China_01362","O78H4Australia_03617","O78H4Korea_03840","O78H51Korea_00885","O78H9China_03666","O78H9HPVN24_00396","O78H9IMT2125UK_00366","O78US_01105","O82H8Thailand_02513","O8H25Laos_01268","O9H21China_03754"
"sbmC","","DNA gyrase inhibitor","21","21","1","52","12276","","","","389","473","469","OH32Brunei_01800","OH5Pakistan_01836","O109H51Pakistan_02108","O16H48Indonesia_02067","O1H7Pakistan_02007","O1K1H7Korea_02111","O25H4Denmark_02668","O2K1H5China_00116","O2K1H5Korea_02091","O36H5Pakistan_01949","O76O8H9China_00328","O78H4Australia_00242","O78H4Korea_01872","O78H51Korea_02737","O78H9China_00228","O78H9HPVN24_02111","O78H9IMT2125UK_02121","O78US_02885","O82H8Thailand_01148","O8H25Laos_03013","O9H21China_01895"
"yedV","","putative sensory kinase in two-component regulatory system with YedW","21","21","1","52","9876","","","","1358","1358","1358","OH32Brunei_01838","OH5Pakistan_01876","O109H51Pakistan_02174","O16H48Indonesia_02022","O1H7Pakistan_02106","O1K1H7Korea_02179","O25H4Denmark_04371","O2K1H5China_04249","O2K1H5Korea_02245","O36H5Pakistan_01991","O76O8H9China_00368","O78H4Australia_00117","O78H4Korea_02007","O78H51Korea_02609","O78H9China_00143","O78H9HPVN24_02040","O78H9IMT2125UK_02078","O78US_02845","O82H8Thailand_02773","O8H25Laos_02940","O9H21China_01990"
"yedJ","","putative phosphohydrolase","21","21","1","52","9886","","","","695","695","695","OH32Brunei_01845","OH5Pakistan_01884","O109H51Pakistan_02179","O16H48Indonesia_02016","O1H7Pakistan_02112","O1K1H7Korea_02185","O25H4Denmark_04366","O2K1H5China_04254","O2K1H5Korea_02250","O36H5Pakistan_01996","O76O8H9China_00373","O78H4Australia_00113","O78H4Korea_02011","O78H51Korea_02604","O78H9China_00138","O78H9HPVN24_02034","O78H9IMT2125UK_02073","O78US_02840","O82H8Thailand_02768","O8H25Laos_02935","O9H21China_01995"
"pphA","","protein phosphatase 1 modulates phosphoproteins, signals protein misfolding","21","21","1","52","11573","","","","515","656","642","OH32Brunei_01984","OH5Pakistan_02038","O109H51Pakistan_02307","O16H48Indonesia_01891","O1H7Pakistan_02235","O1K1H7Korea_02310","O25H4Denmark_01827","O2K1H5China_04378","O2K1H5Korea_02442","O36H5Pakistan_02142","O76O8H9China_00499","O78H4Australia_04967","O78H4Korea_02155","O78H51Korea_02476","O78H9China_00012","O78H9HPVN24_01909","O78H9IMT2125UK_01945","O78US_02714","O82H8Thailand_04227","O8H25Laos_02811","O9H21China_02131"
"yoaC","","putative protein","21","21","1","52","11544","","","","299","299","299","OH32Brunei_02013","OH5Pakistan_02067","O109H51Pakistan_02336","O16H48Indonesia_01862","O1H7Pakistan_02263","O1K1H7Korea_02338","O25H4Denmark_01799","O2K1H5China_04406","O2K1H5Korea_02470","O36H5Pakistan_02171","O76O8H9China_00528","O78H4Australia_04999","O78H4Korea_02187","O78H51Korea_02447","O78H9China_01500","O78H9HPVN24_01880","O78H9IMT2125UK_01914","O78US_02685","O82H8Thailand_04256","O8H25Laos_02782","O9H21China_02160"
"ygdT","","hypothetical protein","21","21","1","52","2613","","","","146","146","146","OH32Brunei_02185","OH5Pakistan_01003","O109H51Pakistan_01246","O16H48Indonesia_02890","O1H7Pakistan_01138","O1K1H7Korea_01100","O25H4Denmark_00642","O2K1H5China_01081","O2K1H5Korea_01096","O36H5Pakistan_01068","O76O8H9China_03533","O78H4Australia_01072","O78H4Korea_01052","O78H51Korea_03599","O78H9China_03762","O78H9HPVN24_02984","O78H9IMT2125UK_03072","O78US_03734","O82H8Thailand_02383","O8H25Laos_03851","O9H21China_01055"
"ygaP","","putative inner membrane protein with hydrolase activity","21","21","1","52","2425","","","","524","524","524","OH32Brunei_02272","OH5Pakistan_01176","O109H51Pakistan_01421","O16H48Indonesia_02719","O1H7Pakistan_01338","O1K1H7Korea_01300","O25H4Denmark_00446","O2K1H5China_00879","O2K1H5Korea_01296","O36H5Pakistan_01242","O76O8H9China_01245","O78H4Australia_00868","O78H4Korea_01255","O78H51Korea_03430","O78H9China_03799","O78H9HPVN24_02816","O78H9IMT2125UK_02896","O78US_03558","O82H8Thailand_02208","O8H25Laos_03684","O9H21China_01237"
"gshB","","glutathione synthetase monomer","21","21","1","52","2723","","","","707","950","938","OH32Brunei_02466","OH5Pakistan_00883","O109H51Pakistan_01088","O16H48Indonesia_03007","O1H7Pakistan_01035","O1K1H7Korea_00979","O25H4Denmark_00746","O2K1H5China_01185","O2K1H5Korea_00993","O36H5Pakistan_00944","O76O8H9China_03669","O78H4Australia_01171","O78H4Korea_00953","O78H51Korea_03735","O78H9China_03385","O78H9HPVN24_03129","O78H9IMT2125UK_03220","O78US_03882","O82H8Thailand_03999","O8H25Laos_03987","O9H21China_00919"
"idi","","isopentenyl diphosphate isomerase","21","21","1","52","2654","","","","548","548","548","OH32Brunei_02523","OH5Pakistan_00943","O109H51Pakistan_01153","O16H48Indonesia_02949","O1H7Pakistan_01095","O1K1H7Korea_01039","O25H4Denmark_00685","O2K1H5China_01124","O2K1H5Korea_01053","O36H5Pakistan_01002","O76O8H9China_03605","O78H4Australia_01115","O78H4Korea_01009","O78H51Korea_03671","O78H9China_03321","O78H9HPVN24_03065","O78H9IMT2125UK_03157","O78US_03818","O82H8Thailand_03928","O8H25Laos_03923","O9H21China_00984"
"eutG","","putative alcohol dehydrogenase in ethanolamine utilization","21","21","1","52","4593","","","","194","1187","1139","OH32Brunei_02651","OH5Pakistan_01382","O109H51Pakistan_01679","O16H48Indonesia_02494","O1H7Pakistan_01518","O1K1H7Korea_01572","O25H4Denmark_00131","O2K1H5China_00629","O2K1H5Korea_01594","O36H5Pakistan_01473","O76O8H9China_03199","O78H4Australia_00684","O78H4Korea_01439","O78H51Korea_03214","O78H9China_02329","O78H9HPVN24_02618","O78H9IMT2125UK_02591","O78US_03349","O82H8Thailand_01295","O8H25Laos_03467","O9H21China_01440"
"fadA","","3-ketoacyl-CoA thiolase","21","21","1","52","989","","","","356","1163","1104","OH32Brunei_02710","OH5Pakistan_04833","O109H51Pakistan_05074","O16H48Indonesia_03914","O1H7Pakistan_04924","O1K1H7Korea_05035","O25H4Denmark_04660","O2K1H5China_02196","O2K1H5Korea_05212","O36H5Pakistan_04719","O76O8H9China_01646","O78H4Australia_02402","O78H4Korea_05028","O78H51Korea_04833","O78H9China_03995","O78H9HPVN24_04096","O78H9IMT2125UK_04173","O78US_04843","O82H8Thailand_01424","O8H25Laos_00273","O9H21China_04817"
"rffC","","dTDP-fucosamine acetyltransferase","21","21","1","52","1058","","","","674","674","674","OH32Brunei_02766","OH5Pakistan_04891","O109H51Pakistan_05136","O16H48Indonesia_03860","O1H7Pakistan_05006","O1K1H7Korea_05144","O25H4Denmark_03714","O2K1H5China_02114","O2K1H5Korea_05293","O36H5Pakistan_04777","O76O8H9China_01591","O78H4Australia_02325","O78H4Korea_05105","O78H51Korea_04773","O78H9China_04050","O78H9HPVN24_04042","O78H9IMT2125UK_04119","O78US_04788","O82H8Thailand_01480","O8H25Laos_00214","O9H21China_04876"
"yhbX","","putative hydrolase, inner membrane","21","21","1","52","1990","","","","803","1625","1529","OH32Brunei_02815","OH5Pakistan_00617","O109H51Pakistan_00766","O16H48Indonesia_03233","O1H7Pakistan_00708","O1K1H7Korea_00586","O25H4Denmark_01266","O2K1H5China_01452","O2K1H5Korea_00616","O36H5Pakistan_00702","O76O8H9China_00934","O78H4Australia_01657","O78H4Korea_00665","O78H51Korea_04069","O78H9China_03018","O78H9HPVN24_03414","O78H9IMT2125UK_03485","O78US_04142","O82H8Thailand_02965","O8H25Laos_04249","O9H21China_00559"
"rihC","","ribonucleoside hydrolase 3","21","21","1","52","7947","","","","914","914","914","OH32Brunei_02936","OH5Pakistan_04149","O109H51Pakistan_04386","O16H48Indonesia_00026","O1H7Pakistan_04141","O1K1H7Korea_04202","O25H4Denmark_01948","O2K1H5China_02964","O2K1H5Korea_04266","O36H5Pakistan_04094","O76O8H9China_04332","O78H4Australia_03205","O78H4Korea_04275","O78H51Korea_00533","O78H9China_01381","O78H9HPVN24_00068","O78H9IMT2125UK_00035","O78US_00758","O82H8Thailand_04054","O8H25Laos_00930","O9H21China_04127"
"thiQ","","thiamin ABC transporter - ATP binding subunit","21","21","1","52","7903","","","","698","698","698","OH32Brunei_02975","OH5Pakistan_04110","O109H51Pakistan_04349","O16H48Indonesia_00062","O1H7Pakistan_04098","O1K1H7Korea_04159","O25H4Denmark_01903","O2K1H5China_03007","O2K1H5Korea_04223","O36H5Pakistan_04054","O76O8H9China_04370","O78H4Australia_03244","O78H4Korea_04236","O78H51Korea_00570","O78H9China_01342","O78H9HPVN24_00107","O78H9IMT2125UK_00073","O78US_00796","O82H8Thailand_00570","O8H25Laos_00967","O9H21China_04090"
"arfB","","peptidyl-tRNA hydrolase, ribosome rescue factor","21","21","1","52","7734","","","","422","422","422","OH32Brunei_03113","OH5Pakistan_03974","O109H51Pakistan_04217","O16H48Indonesia_00197","O1H7Pakistan_03963","O1K1H7Korea_04025","O25H4Denmark_03374","O2K1H5China_03145","O2K1H5Korea_04089","O36H5Pakistan_03920","O76O8H9China_04504","O78H4Australia_03377","O78H4Korea_04103","O78H51Korea_00703","O78H9China_01209","O78H9HPVN24_00239","O78H9IMT2125UK_00208","O78US_00929","O82H8Thailand_02073","O8H25Laos_01104","O9H21China_03958"
"yaeF","","putative lipoprotein","21","21","1","52","7732","","","","581","824","696","OH32Brunei_03116","OH5Pakistan_03971","O109H51Pakistan_04214","O16H48Indonesia_00199","O1H7Pakistan_03961","O1K1H7Korea_04023","O25H4Denmark_03372","O2K1H5China_03147","O2K1H5Korea_04087","O36H5Pakistan_03917","O76O8H9China_04506","O78H4Australia_03379","O78H4Korea_04101","O78H51Korea_00706","O78H9China_01207","O78H9HPVN24_00241","O78H9IMT2125UK_00210","O78US_00931","O82H8Thailand_02071","O8H25Laos_01107","O9H21China_03956"
"gadW","","GadW DNA-binding transcriptional dual regulator","21","21","1","52","1470","","","","728","728","728","OH32Brunei_03182","OH5Pakistan_00252","O109H51Pakistan_00430","O16H48Indonesia_03566","O1H7Pakistan_00338","O1K1H7Korea_00217","O25H4Denmark_02295","O2K1H5China_01825","O2K1H5Korea_00249","O36H5Pakistan_00348","O76O8H9China_04693","O78H4Australia_02012","O78H4Korea_00389","O78H51Korea_04405","O78H9China_02556","O78H9HPVN24_03747","O78H9IMT2125UK_03821","O78US_04483","O82H8Thailand_04140","O8H25Laos_04584","O9H21China_00223"
"yhdX","","YhdW/YhdX/YhdY/YhdZ ABC transporter","21","21","1","52","1899","","","","323","1181","1140","OH32Brunei_03191","OH5Pakistan_00516","O109H51Pakistan_00672","O16H48Indonesia_03328","O1H7Pakistan_00610","O1K1H7Korea_00488","O25H4Denmark_01170","O2K1H5China_01549","O2K1H5Korea_00519","O36H5Pakistan_00602","O76O8H9China_03751","O78H4Australia_01747","O78H4Korea_00575","O78H51Korea_04161","O78H9China_02927","O78H9HPVN24_03506","O78H9IMT2125UK_03578","O78US_04233","O82H8Thailand_04125","O8H25Laos_04340","O9H21China_00467"
"panF","","pantothenate:Na+ symporter","21","21","1","52","1913","","","","680","1451","1402","OH32Brunei_03203","OH5Pakistan_00530","O109H51Pakistan_00684","O16H48Indonesia_03316","O1H7Pakistan_00622","O1K1H7Korea_00500","O25H4Denmark_01181","O2K1H5China_01537","O2K1H5Korea_00531","O36H5Pakistan_00614","O76O8H9China_01013","O78H4Australia_01736","O78H4Korea_00586","O78H51Korea_04149","O78H9China_02939","O78H9HPVN24_03494","O78H9IMT2125UK_03565","O78US_04221","O82H8Thailand_04137","O8H25Laos_04328","O9H21China_00479"
"group_1498","","hypothetical protein","21","21","1","52","1914","","","","242","242","242","OH32Brunei_03204","OH5Pakistan_00531","O109H51Pakistan_00685","O16H48Indonesia_03315","O1H7Pakistan_00623","O1K1H7Korea_00501","O25H4Denmark_01182","O2K1H5China_01536","O2K1H5Korea_00532","O36H5Pakistan_00615","O76O8H9China_01012","O78H4Australia_01735","O78H4Korea_00587","O78H51Korea_04148","O78H9China_02940","O78H9HPVN24_03493","O78H9IMT2125UK_03563","O78US_04220","O82H8Thailand_02887","O8H25Laos_04327","O9H21China_00480"
"nanK","","N-acetylmannosamine kinase","21","21","1","52","1947","","","","875","875","875","OH32Brunei_03240","OH5Pakistan_00567","O109H51Pakistan_00721","O16H48Indonesia_03279","O1H7Pakistan_00664","O1K1H7Korea_00542","O25H4Denmark_01222","O2K1H5China_01496","O2K1H5Korea_00572","O36H5Pakistan_00651","O76O8H9China_00979","O78H4Australia_01702","O78H4Korea_00620","O78H51Korea_04114","O78H9China_02973","O78H9HPVN24_03459","O78H9IMT2125UK_03530","O78US_04187","O82H8Thailand_02920","O8H25Laos_04294","O9H21China_00514"
"bisC","","biotin sulfoxide reductase","21","21","1","52","1413","","","","2126","2333","2323","OH32Brunei_03325","OH5Pakistan_00211","O109H51Pakistan_00384","O16H48Indonesia_03607","O1H7Pakistan_00293","O1K1H7Korea_00172","O25H4Denmark_02263","O2K1H5China_01867","O2K1H5Korea_00206","O36H5Pakistan_00305","O76O8H9China_01428","O78H4Australia_02064","O78H4Korea_00254","O78H51Korea_04452","O78H9China_03945","O78H9HPVN24_03789","O78H9IMT2125UK_03865","O78US_04532","O82H8Thailand_03108","O8H25Laos_04632","O9H21China_00170"
"group_1514","","hypothetical protein","21","21","1","52","8480","","","","815","815","815","OH32Brunei_03510","OH5Pakistan_03585","O109H51Pakistan_03823","O16H48Indonesia_00532","O1H7Pakistan_03626","O1K1H7Korea_03687","O25H4Denmark_01003","O2K1H5China_03490","O2K1H5Korea_03768","O36H5Pakistan_03559","O76O8H9China_04234","O78H4Australia_03796","O78H4Korea_03667","O78H51Korea_01057","O78H9China_02884","O78H9HPVN24_00568","O78H9IMT2125UK_00539","O78US_01276","O82H8Thailand_00772","O8H25Laos_01439","O9H21China_03581"
"ysaB","","putative protein","21","21","1","52","1353","","","","299","308","299","OH32Brunei_03531","OH5Pakistan_00198","O109H51Pakistan_00373","O16H48Indonesia_03618","O1H7Pakistan_00282","O1K1H7Korea_00161","O25H4Denmark_02252","O2K1H5China_01878","O2K1H5Korea_00195","O36H5Pakistan_00292","O76O8H9China_01439","O78H4Australia_02075","O78H4Korea_00243","O78H51Korea_04463","O78H9China_03956","O78H9HPVN24_03800","O78H9IMT2125UK_03876","O78US_04543","O82H8Thailand_04407","O8H25Laos_04643","O9H21China_00159"
"ymjC","","hypothetical protein","21","21","1","52","10397","","","","164","650","397","OH32Brunei_03610","OH5Pakistan_02577","O109H51Pakistan_02851","O16H48Indonesia_01370","O1H7Pakistan_02649","O1K1H7Korea_02726","O25H4Denmark_03653","O2K1H5China_04801","O2K1H5Korea_02864","O36H5Pakistan_02676","O76O8H9China_01927","O78H4Australia_04692","O78H4Korea_02716","O78H51Korea_01952","O78H9China_02073","O78H9HPVN24_01424","O78H9IMT2125UK_01446","O78US_02203","O82H8Thailand_00381","O8H25Laos_02268","O9H21China_02682"
"group_1518","","hypothetical protein","21","21","1","52","12417","","","","659","659","659","OH32Brunei_03652","OH5Pakistan_01763","O109H51Pakistan_02035","O16H48Indonesia_02138","O1H7Pakistan_01938","O1K1H7Korea_02043","O25H4Denmark_02734","O2K1H5China_00191","O2K1H5Korea_02020","O36H5Pakistan_01863","O76O8H9China_00250","O78H4Australia_00310","O78H4Korea_01802","O78H51Korea_02807","O78H9China_00300","O78H9HPVN24_02184","O78H9IMT2125UK_02191","O78US_02957","O82H8Thailand_01884","O8H25Laos_03077","O9H21China_01815"
"group_1521","","hypothetical protein","21","21","1","52","11468","","","","575","575","575","OH32Brunei_03674","OH5Pakistan_02138","O109H51Pakistan_02406","O16H48Indonesia_01801","O1H7Pakistan_02325","O1K1H7Korea_02400","O25H4Denmark_01735","O2K1H5China_04469","O2K1H5Korea_02532","O36H5Pakistan_02239","O76O8H9China_00588","O78H4Australia_05058","O78H4Korea_02248","O78H51Korea_02382","O78H9China_01560","O78H9HPVN24_01820","O78H9IMT2125UK_01854","O78US_02625","O82H8Thailand_04317","O8H25Laos_02720","O9H21China_02230"
"ydiZ","","putative protein","21","21","1","52","11448","","","","125","290","282","OH32Brunei_03693","OH5Pakistan_02161","O109H51Pakistan_02426","O16H48Indonesia_01782","O1H7Pakistan_02342","O1K1H7Korea_02417","O25H4Denmark_01718","O2K1H5China_04488","O2K1H5Korea_02549","O36H5Pakistan_02261","O76O8H9China_00606","O78H4Australia_05076","O78H4Korea_02266","O78H51Korea_02363","O78H9China_01578","O78H9HPVN24_01802","O78H9IMT2125UK_01836","O78US_02607","O82H8Thailand_04335","O8H25Laos_02701","O9H21China_02249"
"group_1523","","hypothetical protein","21","21","1","52","11424","","","","1436","1436","1436","OH32Brunei_03713","OH5Pakistan_02183","O109H51Pakistan_02446","O16H48Indonesia_01763","O1H7Pakistan_02361","O1K1H7Korea_02436","O25H4Denmark_01699","O2K1H5China_04506","O2K1H5Korea_02569","O36H5Pakistan_02281","O76O8H9China_00625","O78H4Australia_05095","O78H4Korea_02285","O78H51Korea_02343","O78H9China_01597","O78H9HPVN24_01782","O78H9IMT2125UK_01815","O78US_02588","O82H8Thailand_04354","O8H25Laos_02681","O9H21China_02267"
"group_1531","","hypothetical protein","21","21","1","52","11406","","","","173","356","347","OH32Brunei_03731","OH5Pakistan_02205","O109H51Pakistan_02464","O16H48Indonesia_01746","O1H7Pakistan_02379","O1K1H7Korea_02456","O25H4Denmark_01682","O2K1H5China_04524","O2K1H5Korea_02587","O36H5Pakistan_02299","O76O8H9China_00643","O78H4Australia_05112","O78H4Korea_02302","O78H51Korea_02326","O78H9China_01615","O78H9HPVN24_01763","O78H9IMT2125UK_01798","O78US_02571","O82H8Thailand_00654","O8H25Laos_02661","O9H21China_02285"
"ydhU","","putative cytochrome","21","21","1","52","11385","","","","785","785","785","OH32Brunei_03752","OH5Pakistan_02226","O109H51Pakistan_02485","O16H48Indonesia_01725","O1H7Pakistan_02400","O1K1H7Korea_02477","O25H4Denmark_01661","O2K1H5China_04545","O2K1H5Korea_02608","O36H5Pakistan_02320","O76O8H9China_00664","O78H4Australia_05134","O78H4Korea_02323","O78H51Korea_02305","O78H9China_01636","O78H9HPVN24_01742","O78H9IMT2125UK_01776","O78US_02549","O82H8Thailand_00675","O8H25Laos_02640","O9H21China_02306"
"mliC","","inhibitor of c-type lysozyme, predicted lipoprotein","21","21","1","52","11353","","","","323","323","323","OH32Brunei_03786","OH5Pakistan_02260","O109H51Pakistan_02519","O16H48Indonesia_01691","O1H7Pakistan_02433","O1K1H7Korea_02510","O25H4Denmark_01628","O2K1H5China_04578","O2K1H5Korea_02641","O36H5Pakistan_02354","O76O8H9China_00698","O78H4Australia_05171","O78H4Korea_02358","O78H51Korea_02271","O78H9China_01670","O78H9HPVN24_01708","O78H9IMT2125UK_01741","O78US_02515","O82H8Thailand_00710","O8H25Laos_02606","O9H21China_02340"
"ynfH","","oxidoreductase, predicted membrane anchor subunit","21","21","1","52","11294","","","","854","854","854","OH32Brunei_03837","OH5Pakistan_02310","O109H51Pakistan_02570","O16H48Indonesia_01641","O1H7Pakistan_02482","O1K1H7Korea_02559","O25H4Denmark_01578","O2K1H5China_04629","O2K1H5Korea_02690","O36H5Pakistan_02405","O76O8H9China_00749","O78H4Australia_05221","O78H4Korea_02408","O78H51Korea_02220","O78H9China_01721","O78H9HPVN24_01655","O78H9IMT2125UK_01666","O78US_02464","O82H8Thailand_03762","O8H25Laos_02555","O9H21China_02390"
"flhA_2","","flagellar biosynthesis protein FlhA","21","21","1","52","7292","","","","1631","2093","1767","OH32Brunei_03919","OH5Pakistan_03926","O109H51Pakistan_04151","O16H48Indonesia_00241","O1H7Pakistan_03899","O1K1H7Korea_03959","O25H4Denmark_04506","O2K1H5China_03210","O2K1H5Korea_04023","O36H5Pakistan_03852","O76O8H9China_02958","O78H4Australia_03469","O78H4Korea_03972","O78H51Korea_00772","O78H9China_03595","O78H9HPVN24_00278","O78H9IMT2125UK_00248","O78US_00975","O82H8Thailand_02428","O8H25Laos_01171","O9H21China_03887"
"group_1542","","hypothetical protein","21","21","1","52","1882","","","","368","368","368","OH32Brunei_03976","OH5Pakistan_00491","O109H51Pakistan_00647","O16H48Indonesia_03353","O1H7Pakistan_00585","O1K1H7Korea_00463","O25H4Denmark_04423","O2K1H5China_01574","O2K1H5Korea_00494","O36H5Pakistan_00577","O76O8H9China_02929","O78H4Australia_01772","O78H4Korea_00550","O78H51Korea_04184","O78H9China_04744","O78H9HPVN24_03522","O78H9IMT2125UK_03595","O78US_04258","O82H8Thailand_03431","O8H25Laos_04365","O9H21China_00442"
"yneJ","","putative DNA-binding transcriptional regulator, LysR-type","21","21","1","52","10951","","","","875","881","880","OH32Brunei_04007","OH5Pakistan_02343","O109H51Pakistan_02670","O16H48Indonesia_01571","O1H7Pakistan_02515","O1K1H7Korea_02592","O25H4Denmark_01550","O2K1H5China_04662","O2K1H5Korea_02723","O36H5Pakistan_02436","O76O8H9China_00830","O78H4Australia_00024","O78H4Korea_02497","O78H51Korea_02129","O78H9China_04588","O78H9HPVN24_01595","O78H9IMT2125UK_01630","O78US_02382","O82H8Thailand_02574","O8H25Laos_02482","O9H21China_02494"
"ydfI","","putative mannonate dehydrogenase","21","21","1","52","10927","","","","1460","1460","1460","OH32Brunei_04027","OH5Pakistan_02324","O109H51Pakistan_02646","O16H48Indonesia_01590","O1H7Pakistan_02494","O1K1H7Korea_02571","O25H4Denmark_01565","O2K1H5China_04641","O2K1H5Korea_02702","O36H5Pakistan_02417","O76O8H9China_00805","O78H4Australia_00008","O78H4Korea_02481","O78H51Korea_02153","O78H9China_04563","O78H9HPVN24_01620","O78H9IMT2125UK_01654","O78US_02407","O82H8Thailand_02549","O8H25Laos_02507","O9H21China_02468"
"hipB","","HipB-HipA antitoxin/toxin complex and DNA-binding transcriptional repressor","21","21","1","52","10977","","","","266","266","266","OH32Brunei_04163","OH5Pakistan_02415","O109H51Pakistan_02688","O16H48Indonesia_01551","O1H7Pakistan_02524","O1K1H7Korea_02601","O25H4Denmark_01542","O2K1H5China_04673","O2K1H5Korea_02733","O36H5Pakistan_02455","O76O8H9China_03439","O78H4Australia_00043","O78H4Korea_02514","O78H51Korea_02111","O78H9China_04607","O78H9HPVN24_01576","O78H9IMT2125UK_01611","O78US_02363","O82H8Thailand_02592","O8H25Laos_02463","O9H21China_02512"
"hipA","","Serine/threonine-protein kinase toxin HipA","21","21","1","52","10978","","","","1316","1322","1321","OH32Brunei_04164","OH5Pakistan_02414","O109H51Pakistan_02689","O16H48Indonesia_01550","O1H7Pakistan_02525","O1K1H7Korea_02602","O25H4Denmark_01541","O2K1H5China_04674","O2K1H5Korea_02734","O36H5Pakistan_02456","O76O8H9China_03440","O78H4Australia_00044","O78H4Korea_02515","O78H51Korea_02110","O78H9China_04608","O78H9HPVN24_01575","O78H9IMT2125UK_01610","O78US_02362","O82H8Thailand_02593","O8H25Laos_02462","O9H21China_02513"
"ydeQ","","putative fimbrial-like adhesin protein","21","21","1","52","10985","","","","914","914","914","OH32Brunei_04167","OH5Pakistan_02407","O109H51Pakistan_02695","O16H48Indonesia_01546","O1H7Pakistan_02533","O1K1H7Korea_02612","O25H4Denmark_01534","O2K1H5China_04684","O2K1H5Korea_02744","O36H5Pakistan_02485","O76O8H9China_03353","O78H4Australia_00053","O78H4Korea_02522","O78H51Korea_02104","O78H9China_04614","O78H9HPVN24_01569","O78H9IMT2125UK_01604","O78US_02356","O82H8Thailand_04192","O8H25Laos_02456","O9H21China_02519"
"group_1562","","hypothetical protein","21","21","1","52","3119","","","","230","230","230","OH32Brunei_04216","OH5Pakistan_04441","O109H51Pakistan_04743","O16H48Indonesia_04223","O1H7Pakistan_04579","O1K1H7Korea_04689","O25H4Denmark_02828","O2K1H5China_02540","O2K1H5Korea_04821","O36H5Pakistan_04392","O76O8H9China_03907","O78H4Australia_02828","O78H4Korea_04705","O78H51Korea_00092","O78H9China_00997","O78H9HPVN24_04457","O78H9IMT2125UK_04516","O78US_00342","O82H8Thailand_01672","O8H25Laos_00597","O9H21China_04494"
"group_1563","","hypothetical protein","21","21","1","52","3124","","","","629","650","634","OH32Brunei_04221","OH5Pakistan_04446","O109H51Pakistan_04748","O16H48Indonesia_04218","O1H7Pakistan_04584","O1K1H7Korea_04694","O25H4Denmark_02833","O2K1H5China_02535","O2K1H5Korea_04826","O36H5Pakistan_04397","O76O8H9China_03902","O78H4Australia_02823","O78H4Korea_04710","O78H51Korea_00087","O78H9China_01002","O78H9HPVN24_04452","O78H9IMT2125UK_04511","O78US_00337","O82H8Thailand_01667","O8H25Laos_00592","O9H21China_04499"
"eptA","","putative metal-dependent hydrolase","21","21","1","52","3131","","","","1538","1643","1638","OH32Brunei_04228","OH5Pakistan_04453","O109H51Pakistan_04755","O16H48Indonesia_04211","O1H7Pakistan_04590","O1K1H7Korea_04700","O25H4Denmark_02839","O2K1H5China_02529","O2K1H5Korea_04832","O36H5Pakistan_04405","O76O8H9China_03895","O78H4Australia_02816","O78H4Korea_04717","O78H51Korea_00080","O78H9China_01009","O78H9HPVN24_04446","O78H9IMT2125UK_04501","O78US_00330","O82H8Thailand_01660","O8H25Laos_00585","O9H21China_04506"
"phnG","","PhnG subunit of methylphosphonate degradation complex","21","21","1","52","3144","","","","452","452","452","OH32Brunei_04248","OH5Pakistan_04474","O109H51Pakistan_04771","O16H48Indonesia_04196","O1H7Pakistan_04606","O1K1H7Korea_04716","O25H4Denmark_02855","O2K1H5China_02513","O2K1H5Korea_04848","O36H5Pakistan_04425","O76O8H9China_03880","O78H4Australia_02799","O78H4Korea_04733","O78H51Korea_00065","O78H9China_01024","O78H9HPVN24_04431","O78H9IMT2125UK_04486","O78US_00315","O82H8Thailand_01644","O8H25Laos_00570","O9H21China_04521"
"phnH","","PhnH subunit of methylphosphonate degradation complex","21","21","1","52","3145","","","","584","584","584","OH32Brunei_04249","OH5Pakistan_04475","O109H51Pakistan_04772","O16H48Indonesia_04195","O1H7Pakistan_04607","O1K1H7Korea_04717","O25H4Denmark_02856","O2K1H5China_02512","O2K1H5Korea_04849","O36H5Pakistan_04426","O76O8H9China_03879","O78H4Australia_02798","O78H4Korea_04734","O78H51Korea_00064","O78H9China_01025","O78H9HPVN24_04430","O78H9IMT2125UK_04485","O78US_00314","O82H8Thailand_01643","O8H25Laos_00569","O9H21China_04522"
