"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"group_3103","","hypothetical protein","4","4","1","1","4726","","","","1019","1019","1019","O78H9China_02920","O78H9HPVN24_00587","O78H9IMT2125UK_01694","O78US_01312"
"fixX","","putative ferredoxin possibly involved in anaerobic carnitine metabolism","4","4","1","1","4264","","","","287","287","287","O78H9China_01364","O78H9HPVN24_00085","O78H9IMT2125UK_00051","O78US_00774"
"trpR","","TrpR-Tryptophan DNA-binding transcriptional repressor","4","4","1","1","4320","","","","296","296","296","O78H9China_01423","O78H9HPVN24_00027","O78H9IMT2125UK_04831","O78US_00716"
"hcaR","","HcaR transcriptional dual regulator","4","4","1","1","2660","","","","890","890","890","O78H9China_02232","O78H9HPVN24_02715","O78H9IMT2125UK_02688","O78US_03446"
"grxA","","Glutaredoxin 1","4","4","1","1","1130","","","","257","257","257","O78H9China_00514","O78H9HPVN24_00946","O78H9IMT2125UK_00918","O78US_01684"
"fliA","","RNA polymerase, sigma 28 (sigma F) factor","4","4","1","1","3097","","","","719","719","719","O78H9China_00099","O78H9HPVN24_01996","O78H9IMT2125UK_02034","O78US_02801"
"wcaB","","putative colanic acid biosynthesis acyl transferase","4","4","1","1","3506","","","","488","488","488","O78H9China_00284","O78H9HPVN24_02168","O78H9IMT2125UK_02175","O78US_02941"
"group_311","","hypothetical protein","4","4","1","1","4236","","","","269","269","269","O78H9China_01097","O78H9HPVN24_04357","O78H9IMT2125UK_00294","O78US_00676"
"ydiB","","shikimate dehydrogenase / quinate dehydrogenase","4","4","1","1","4597","","","","866","866","866","O78H9China_01612","O78H9HPVN24_01766","O78H9IMT2125UK_01801","O78US_02574"
"argR","","ArgR-arg","4","4","1","1","1946","","","","470","470","470","O78H9China_02958","O78H9HPVN24_03474","O78H9IMT2125UK_03545","O78US_04202"
"ygeY","","putative peptidase","4","4","1","1","2343","","","","1211","1211","1211","O78H9China_03304","O78H9HPVN24_03048","O78H9IMT2125UK_03140","O78US_03801"
"cdaR","","CdaR DNA-binding transcriptional activator","4","4","1","1","4031","","","","1157","1157","1157","O78H9China_01240","O78H9HPVN24_00208","O78H9IMT2125UK_00177","O78US_00898"
"kdsC","","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase monomer","4","4","1","1","1979","","","","566","566","566","O78H9China_02992","O78H9HPVN24_03440","O78H9IMT2125UK_03511","O78US_04168"
"yfeZ","","putative inner membrane protein","4","4","1","1","269","","","","449","449","449","O78H9China_02340","O78H9HPVN24_02607","O78H9IMT2125UK_02580","O78US_03337"
"mhpC","","2-hydroxy-6-ketonona-2,4-dienedioate hydrolase","4","4","1","1","4847","","","","866","866","866","O78H9China_03671","O78H9HPVN24_00401","O78H9IMT2125UK_00371","O78US_01110"
"kduI","","putative 5-keto 4-deoxyuronate isomerase monomer","4","4","1","1","2396","","","","836","836","836","O78H9China_03777","O78H9HPVN24_02999","O78H9IMT2125UK_03087","O78US_03749"
"zwf","","glucose 6-phosphate-1-dehydrogenase","4","4","1","1","3032","","","","1475","1475","1475","O78H9China_00030","O78H9HPVN24_01927","O78H9IMT2125UK_01963","O78US_02732"
"group_3119","","hypothetical protein","4","4","1","1","1147","","","","341","341","341","O78H9China_00496","O78H9HPVN24_00928","O78H9IMT2125UK_00899","O78US_01666"
"leuB","","3-isopropylmalate dehydrogenase","4","4","1","1","3937","","","","1091","1091","1091","O78H9China_01332","O78H9HPVN24_00117","O78H9IMT2125UK_00083","O78US_00806"
"dhaM","","dihydroxyacetone kinase subunit M","4","4","1","1","801","","","","1418","1418","1418","O78H9China_04526","O78H9HPVN24_01284","O78H9IMT2125UK_01304","O78US_02065"
"yggN","","putative protein","4","4","1","1","2255","","","","719","719","719","O78H9China_03397","O78H9HPVN24_03141","O78H9IMT2125UK_03232","O78US_03894"
"livK","","leucine ABC transporter - periplasmic binding protein","4","4","1","1","1734","","","","1109","1109","1109","O78H9China_02495","O78H9HPVN24_03686","O78H9IMT2125UK_03761","O78US_04422"
"dapA","","4-hydroxy-tetrahydrodipicolinate synthase","4","4","1","1","2598","","","","878","878","878","O78H9China_02297","O78H9HPVN24_02650","O78H9IMT2125UK_02623","O78US_03381"
"yiaG","","putative transcriptional regulator","4","4","1","1","1631","","","","290","290","290","O78H9China_03949","O78H9HPVN24_03793","O78H9IMT2125UK_03869","O78US_04536"
"eamA","","O-acetylserine/cysteine export protein","4","4","1","1","3781","","","","899","899","899","O78H9China_04574","O78H9HPVN24_01609","O78H9IMT2125UK_01643","O78US_02396"
"frlR","","putative DNA-binding transcriptional regulator","4","4","1","1","1815","","","","731","731","731","O78H9China_02414","O78H9HPVN24_03605","O78H9IMT2125UK_03679","O78US_04341"
"paoB","","aldehyde dehydrogenase, FAD-binding subunit","4","4","1","1","4788","","","","956","956","956","O78H9China_03612","O78H9HPVN24_00343","O78H9IMT2125UK_00311","O78US_01050"
"rpmF","","50S ribosomal subunit protein L32","4","4","1","1","894","","","","173","173","173","O78H9China_00763","O78H9HPVN24_01194","O78H9IMT2125UK_01210","O78US_01974"
"group_313","","hypothetical protein","4","4","1","1","4234","","","","1496","1496","1496","O78H9China_01099","O78H9HPVN24_04355","O78H9IMT2125UK_00292","O78US_00674"
"yqjH","","ferric reductase, NADPH-dependent","4","4","1","1","2112","","","","764","764","764","O78H9China_03240","O78H9HPVN24_03302","O78H9IMT2125UK_03367","O78US_04029"
"dusB","","tRNA-dihydrouridine synthase B","4","4","1","1","1925","","","","965","965","965","O78H9China_02937","O78H9HPVN24_03496","O78H9IMT2125UK_03567","O78US_04223"
"ycbL","","putative metal-binding enzyme","4","4","1","1","1052","","","","647","647","647","O78H9China_00595","O78H9HPVN24_01029","O78H9IMT2125UK_01038","O78US_01806"
"yfeO","","putative ion channel protein","4","4","1","1","221","","","","1256","1256","1256","O78H9China_01777","O78H9HPVN24_00784","O78H9IMT2125UK_02537","O78US_03294"
"acpS","","holo-[acyl-carrier-protein] synthase","4","4","1","1","2686","","","","380","380","380","O78H9China_02204","O78H9HPVN24_02745","O78H9IMT2125UK_02716","O78US_03474"
"bglG","","BglG transcriptional antiterminator (monomer)","4","4","1","1","5229","","","","836","836","836","O78H9China_02596","O78H9HPVN24_03974","O78H9IMT2125UK_04052","O78US_04716"
"pdxH","","pyridoxine 5'-phosphate oxidase / pyridoxamine 5'-phosphate oxidase","4","4","1","1","4652","","","","656","656","656","O78H9China_01671","O78H9HPVN24_01707","O78H9IMT2125UK_01740","O78US_02514"
"caeB","","Carboxylesterase B","4","4","1","1","3878","","","","1484","1484","1484","O78H9China_05037","O78H9HPVN24_00594","O78H9IMT2125UK_00563","O78US_01327"
"group_3138","","hypothetical protein","4","4","1","1","2315","","","","311","311","311","O78H9China_03332","O78H9HPVN24_03076","O78H9IMT2125UK_03168","O78US_03829"
"group_3139","","hypothetical protein","4","4","1","1","4083","","","","1733","1733","1733","O78H9China_04675","O78H9HPVN24_04220","O78H9IMT2125UK_04313","O78US_00117"
"ytjC","","putative phosphoglycerate mutase 2","4","4","1","1","4318","","","","647","647","647","O78H9China_01421","O78H9HPVN24_00029","O78H9IMT2125UK_04833","O78US_00718"
"dacB","","D-alanyl-D-alanine endopeptidase","4","4","1","1","1995","","","","1433","1433","1433","O78H9China_03008","O78H9HPVN24_03424","O78H9IMT2125UK_03495","O78US_04152"
"ycdU","","putative inner membrane protein","4","4","1","1","950","","","","986","986","986","O78H9China_00701","O78H9HPVN24_01136","O78H9IMT2125UK_01146","O78US_01912"
"astE","","succinylglutamate desuccinylase","4","4","1","1","2930","","","","968","968","968","O78H9China_01558","O78H9HPVN24_01822","O78H9IMT2125UK_01856","O78US_02627"
"ssuE","","NAD(P)H-dependent FMN reductase monomer","4","4","1","1","1041","","","","575","575","575","O78H9China_00607","O78H9HPVN24_01041","O78H9IMT2125UK_01051","O78US_01818"
"sbcC","","ATP-dependent dsDNA exonuclease","4","4","1","1","4890","","","","3143","3143","3143","O78H9China_02760","O78H9HPVN24_00443","O78H9IMT2125UK_00414","O78US_01153"
"ygiS","","putative transporter subunit","4","4","1","1","2167","","","","1607","1607","1607","O78H9China_03179","O78H9HPVN24_03242","O78H9IMT2125UK_03307","O78US_03969"
"dnaG","","DNA primase","4","4","1","1","2115","","","","1745","1745","1745","O78H9China_03236","O78H9HPVN24_03298","O78H9IMT2125UK_03363","O78US_04025"
"hdeD","","acid-resistance membrane protein","4","4","1","1","1682","","","","572","572","572","O78H9China_02549","O78H9HPVN24_03740","O78H9IMT2125UK_03815","O78US_04476"
"pgaC","","UDP-N-acetyl-D-glucosamine beta-1,6-N-acetyl-D-glucosaminyl transferase","4","4","1","1","957","","","","1325","1325","1325","O78H9China_00694","O78H9HPVN24_01129","O78H9IMT2125UK_01139","O78US_01905"
"mscK","","potassium dependent mechanosensitive channel MscK","4","4","1","1","4958","","","","3362","3362","3362","O78H9China_02829","O78H9HPVN24_00513","O78H9IMT2125UK_00483","O78US_01222"
"fre","","riboflavin reductase [NAD(P)H] / FMN reductase","4","4","1","1","5118","","","","701","701","701","O78H9China_03996","O78H9HPVN24_04095","O78H9IMT2125UK_04172","O78US_04842"
"gspM","","putative protein secretion protein","4","4","1","1","1856","","","","461","461","461","O78H9China_04702","O78H9HPVN24_03564","O78H9IMT2125UK_03637","O78US_04300"
"fepC","","ferric enterobactin ABC transporter - ATP binding subunit","4","4","1","1","3844","","","","815","815","815","O78H9China_03537","O78H9HPVN24_00626","O78H9IMT2125UK_00599","O78US_01360"
"btuC","","vitamin B12 ABC transporter - membrane subunit","4","4","1","1","2896","","","","980","980","980","O78H9China_01592","O78H9HPVN24_01787","O78H9IMT2125UK_01820","O78US_02593"
"mcbA","","protein involved in colanic acid production","4","4","1","1","1195","","","","260","260","260","O78H9China_00449","O78H9HPVN24_00881","O78H9IMT2125UK_00852","O78US_01619"
"exbB","","TonB energy transducing system - ExbB subunit","4","4","1","1","2179","","","","734","734","734","O78H9China_03166","O78H9HPVN24_03229","O78H9IMT2125UK_03294","O78US_03956"
"dnaA","","chromosomal replication initiator protein DnaA; DNA-binding transcriptional dual regulator","4","4","1","1","5249","","","","1403","1403","1403","O78H9China_02616","O78H9HPVN24_03953","O78H9IMT2125UK_04029","O78US_04695"
"rpmD","","50S ribosomal subunit protein L30","4","4","1","1","1889","","","","179","179","179","O78H9China_04734","O78H9HPVN24_03532","O78H9IMT2125UK_03605","O78US_04268"
"map","","methionine aminopeptidase","4","4","1","1","4027","","","","794","794","794","O78H9China_01236","O78H9HPVN24_00212","O78H9IMT2125UK_00181","O78US_00902"
"lsrR_2","","LsrR DNA-binding transcriptional repressor","4","4","1","1","4149","","","","947","947","947","O78H9China_01179","O78H9HPVN24_04295","O78H9IMT2125UK_04390","O78US_00203"
"pgpA","","phosphatidylglycerophosphatase A","4","4","1","1","4911","","","","518","518","518","O78H9China_02781","O78H9HPVN24_00464","O78H9IMT2125UK_00435","O78US_01174"
"eutR","","putative ARAC-type regulatory protein","4","4","1","1","265","","","","1052","1052","1052","O78H9China_02336","O78H9HPVN24_02611","O78H9IMT2125UK_02584","O78US_03341"
"metG","","methionyl-tRNA synthetase","4","4","1","1","3560","","","","2033","2033","2033","O78H9China_00343","O78H9HPVN24_02228","O78H9IMT2125UK_02234","O78US_03000"
"dut","","deoxyuridine triphosphatase","4","4","1","1","1544","","","","458","458","458","O78H9China_02687","O78H9HPVN24_03882","O78H9IMT2125UK_03960","O78US_04626"
"ydbH","","putative protein","4","4","1","1","3249","","","","2639","2639","2639","O78H9China_02045","O78H9HPVN24_01452","O78H9IMT2125UK_01476","O78US_02231"
"ydjA","","putative oxidoreductase","4","4","1","1","2951","","","","551","551","551","O78H9China_01537","O78H9HPVN24_01843","O78H9IMT2125UK_01877","O78US_02648"
"rayT","","REP-associated tyrosine transposase","4","4","1","1","4770","","","","497","497","497","O78H9China_03592","O78H9HPVN24_00275","O78H9IMT2125UK_00245","O78US_00972"
"group_3168","","hypothetical protein","4","4","1","1","3049","","","","818","818","818","O78H9China_00046","O78H9HPVN24_01943","O78H9IMT2125UK_01981","O78US_02748"
"paaF_1","","putative 2,3-dehydroadipyl-CoA hydratase","4","4","1","1","3261","","","","767","767","767","O78H9China_02033","O78H9HPVN24_01464","O78H9IMT2125UK_01488","O78US_02243"
"potE","","putrescine:H+ symporter / putrescine:ornithine antiporter PotE","4","4","1","1","342","","","","1319","1319","1319","O78H9China_03435","O78H9HPVN24_00727","O78H9IMT2125UK_00701","O78US_01463"
"slmA","","cell division inhibitor, nucleoid occlusion","4","4","1","1","1543","","","","596","596","596","O78H9China_02686","O78H9HPVN24_03883","O78H9IMT2125UK_03961","O78US_04627"
"hemF","","coproporphyrinogen III oxidase","4","4","1","1","266","","","","899","899","899","O78H9China_02337","O78H9HPVN24_02610","O78H9IMT2125UK_02583","O78US_03340"
"chiP","","chitobiose outer membrane porin","4","4","1","1","334","","","","1406","1406","1406","O78H9China_03443","O78H9HPVN24_00719","O78H9IMT2125UK_00693","O78US_01455"
"alx","","putative membrane-bound redox modulator that is induced by high pH","4","4","1","1","2095","","","","965","965","965","O78H9China_03258","O78H9HPVN24_03320","O78H9IMT2125UK_03386","O78US_04047"
"yjiN","","hypothetical protein","4","4","1","1","4464","","","","1280","1280","1280","O78H9China_04322","O78H9HPVN24_04704","O78H9IMT2125UK_04768","O78US_00593"
"rhaB","","L-rhamnulose kinase","4","4","1","1","72","","","","1469","1469","1469","O78H9China_04113","O78H9HPVN24_04165","O78H9IMT2125UK_04246","O78US_00059"
"sppA","","protease IV","4","4","1","1","2952","","","","1856","1856","1856","O78H9China_01536","O78H9HPVN24_01844","O78H9IMT2125UK_01878","O78US_02649"
"yecN","","putative inner membrane protein","4","4","1","1","3050","","","","395","395","395","O78H9China_00047","O78H9HPVN24_01944","O78H9IMT2125UK_01982","O78US_02749"
"dppD","","dipeptide ABC transporter - putative ATP binding subunit","4","4","1","1","1645","","","","983","983","983","O78H9China_03932","O78H9HPVN24_03776","O78H9IMT2125UK_03851","O78US_04519"
"ydcN","","putative DNA-binding transcriptional regulator","4","4","1","1","3296","","","","536","536","536","O78H9China_01997","O78H9HPVN24_01499","O78H9IMT2125UK_01524","O78US_02280"
"yahK","","putative oxidoreductase, Zn-dependent and NAD(P)-binding","4","4","1","1","4824","","","","1049","1049","1049","O78H9China_03648","O78H9HPVN24_00378","O78H9IMT2125UK_00347","O78US_01087"
"group_3182","","hypothetical protein","4","4","1","1","2301","","","","230","230","230","O78H9China_03349","O78H9HPVN24_03093","O78H9IMT2125UK_03185","O78US_03846"
"gatA","","galactitol PTS permease - GatA subunit","4","4","1","1","3539","","","","452","452","452","O78H9China_00321","O78H9HPVN24_02206","O78H9IMT2125UK_02212","O78US_02978"
"metC","","L-cysteine desulfhydrase / cystathionine-beta-lyase","4","4","1","1","2178","","","","1187","1187","1187","O78H9China_03167","O78H9HPVN24_03230","O78H9IMT2125UK_03295","O78US_03957"
"ais","","protein induced by aluminum","4","4","1","1","466","","","","602","602","602","O78H9China_01904","O78H9HPVN24_02397","O78H9IMT2125UK_02404","O78US_03167"
"glnD","","[protein-PII] uridylyltransferase","4","4","1","1","4028","","","","2672","2672","2672","O78H9China_01237","O78H9HPVN24_00211","O78H9IMT2125UK_00180","O78US_00901"
"yheS","","fused predicted transporter subunits of ABC superfamily: ATP-binding components","4","4","1","1","1837","","","","1913","1913","1913","O78H9China_02392","O78H9HPVN24_03583","O78H9IMT2125UK_03656","O78US_04319"
"group_3188","","hypothetical protein","4","4","1","1","1928","","","","242","242","242","O78H9China_02940","O78H9HPVN24_03493","O78H9IMT2125UK_03563","O78US_04220"
"dksA","","RNA polymerase-binding transcription factor DksA","4","4","1","1","4048","","","","455","455","455","O78H9China_01258","O78H9HPVN24_00190","O78H9IMT2125UK_00159","O78US_00880"
"nepI","","purine ribonucleoside efflux transporter","4","4","1","1","5278","","","","1238","1238","1238","O78H9China_02659","O78H9HPVN24_03910","O78H9IMT2125UK_03988","O78US_04654"
"ytjA","","putative protein","4","4","1","1","4338","","","","161","161","161","O78H9China_01443","O78H9HPVN24_00007","O78H9IMT2125UK_04811","O78US_00695"
"fepG","","ferric enterobactin ABC transporter - membrane subunit","4","4","1","1","3843","","","","992","992","992","O78H9China_03536","O78H9HPVN24_00627","O78H9IMT2125UK_00600","O78US_01361"
"secF","","Sec Translocation Complex","4","4","1","1","4902","","","","971","971","971","O78H9China_02772","O78H9HPVN24_00455","O78H9IMT2125UK_00426","O78US_01165"
"ybcH","","putative protein","4","4","1","1","3875","","","","890","890","890","O78H9China_05040","O78H9HPVN24_00597","O78H9IMT2125UK_00566","O78US_01330"
"ydhB","","protein with similarity to transcriptional regulators","4","4","1","1","4630","","","","932","932","932","O78H9China_01648","O78H9HPVN24_01730","O78H9IMT2125UK_01763","O78US_02537"
"atoA","","acetyl-CoA:acetoacetyl-CoA transferase, beta subunit","4","4","1","1","439","","","","650","650","650","O78H9China_01932","O78H9HPVN24_02369","O78H9IMT2125UK_02375","O78US_03139"
"polB","","DNA polymerase II","4","4","1","1","3923","","","","2351","2351","2351","O78H9China_01349","O78H9HPVN24_00100","O78H9IMT2125UK_00066","O78US_00789"
"ssuA","","aliphatic sulfonate ABC transporter - periplasmic binding protein","4","4","1","1","1042","","","","959","959","959","O78H9China_00606","O78H9HPVN24_01040","O78H9IMT2125UK_01050","O78US_01817"
"group_3199","","hypothetical protein","4","4","1","1","4162","","","","737","737","737","O78H9China_01167","O78H9HPVN24_04308","O78H9IMT2125UK_04402","O78US_00215"
"cpsG_2","","phosphomannomutase","4","4","1","1","3496","","","","851","1370","1240","O78H9China_00273","O78H9HPVN24_02157","O78H9IMT2125UK_02164","O78US_02930"
"purP","","adenine:H+ symporter","4","4","1","1","5238","","","","1337","1337","1337","O78H9China_02605","O78H9HPVN24_03965","O78H9IMT2125UK_04041","O78US_04707"
"yhjD","","inner membrane protein associated with lipopolysaccharide transport","4","4","1","1","1669","","","","1013","1013","1013","O78H9China_03904","O78H9HPVN24_03754","O78H9IMT2125UK_03829","O78US_04491"
"aroP","","aromatic amino acid:H+ symporter AroP","4","4","1","1","3972","","","","1370","1370","1370","O78H9China_01292","O78H9HPVN24_00156","O78H9IMT2125UK_00123","O78US_00846"
"rpoD","","RNA polymerase, sigma 70 (sigma D) factor","4","4","1","1","2114","","","","1841","1841","1841","O78H9China_03237","O78H9HPVN24_03299","O78H9IMT2125UK_03364","O78US_04026"
"yjhF","","YjhF Gnt tranporter","4","4","1","1","4412","","","","1349","1349","1349","O78H9China_04274","O78H9HPVN24_04655","O78H9IMT2125UK_04718","O78US_00546"
"group_3205","","hypothetical protein","4","4","1","1","222","","","","326","326","326","O78H9China_01776","O78H9HPVN24_00785","O78H9IMT2125UK_02538","O78US_03295"
"yjfC","","putative synthetase/amidase","4","4","1","1","1387","","","","1163","1163","1163","O78H9China_00935","O78H9HPVN24_04517","O78H9IMT2125UK_04580","O78US_00405"
"bglF","","beta-glucoside PTS permease BglF - cryptic","4","4","1","1","5230","","","","1877","1877","1877","O78H9China_02597","O78H9HPVN24_03973","O78H9IMT2125UK_04051","O78US_04715"
"nsrR","","NsrR-nitric oxide","4","4","1","1","1396","","","","425","425","425","O78H9China_00943","O78H9HPVN24_04509","O78H9IMT2125UK_04571","O78US_00397"
"fis","","Fis DNA-binding transcriptional dual regulator","4","4","1","1","1924","","","","296","296","296","O78H9China_02936","O78H9HPVN24_03497","O78H9IMT2125UK_03568","O78US_04224"
"group_3210","","hypothetical protein","4","4","1","1","764","","","","944","944","944","O78H9China_02170","O78H9HPVN24_01327","O78H9IMT2125UK_01346","O78US_02106"
"ggt","","Glutathione hydrolase proenzyme","4","4","1","1","1745","","","","1733","1733","1733","O78H9China_02484","O78H9HPVN24_03675","O78H9IMT2125UK_03750","O78US_04411"
"group_3212","","hypothetical protein","4","4","1","1","4858","","","","671","671","671","O78H9China_03682","O78H9HPVN24_00413","O78H9IMT2125UK_00382","O78US_01121"
"nhaA","","sodium:H+ antiporter NhaA","4","4","1","1","4294","","","","1166","1166","1166","O78H9China_01396","O78H9HPVN24_00054","O78H9IMT2125UK_00020","O78US_00743"
"ybhP","","putative DNase","4","4","1","1","1212","","","","761","761","761","O78H9China_00432","O78H9HPVN24_00864","O78H9IMT2125UK_00834","O78US_01602"
"group_3215","","hypothetical protein","4","4","1","1","3879","","","","305","305","305","O78H9China_05036","O78H9HPVN24_00593","O78H9IMT2125UK_00562","O78US_01326"
"alkA","","3-methyl-adenine DNA glycosylase II, inducible","4","4","1","1","3516","","","","857","857","857","O78H9China_00295","O78H9HPVN24_02179","O78H9IMT2125UK_02186","O78US_02952"
"dsrB","","hypothetical protein; transcription is regulated by RpoS and DsrA RNA","4","4","1","1","3126","","","","188","188","188","O78H9China_00128","O78H9HPVN24_02024","O78H9IMT2125UK_02063","O78US_02830"
"gcvR","","GcvR predicted transcriptional regulator","4","4","1","1","2599","","","","572","572","572","O78H9China_02296","O78H9HPVN24_02651","O78H9IMT2125UK_02624","O78US_03382"
"group_3219","","hypothetical protein","4","4","1","1","2442","","","","1364","1364","1364","O78H9China_03724","O78H9HPVN24_02949","O78H9IMT2125UK_03034","O78US_03696"
"yjbH","","putative porin","4","4","1","1","4163","","","","920","2096","1802","O78H9China_01166","O78H9HPVN24_04310","O78H9IMT2125UK_04403","O78US_00216"
"dtpB","","dipeptide / tripeptide:H+ symporter DtpB","4","4","1","1","1697","","","","1469","1469","1469","O78H9China_02532","O78H9HPVN24_03723","O78H9IMT2125UK_03798","O78US_04459"
"yqjG","","S-glutathionyl-(chloro)hydroquinone reductase","4","4","1","1","2072","","","","986","986","986","O78H9China_03093","O78H9HPVN24_03338","O78H9IMT2125UK_03408","O78US_04068"
"group_3222","kduD_2","2-deoxy-D-gluconate 3-dehydrogenase","4","4","1","1","2397","","","","761","761","761","O78H9China_03776","O78H9HPVN24_02998","O78H9IMT2125UK_03086","O78US_03748"
"group_3223","","hypothetical protein","4","4","1","1","1907","","","","473","473","473","O78H9China_04753","O78H9HPVN24_03513","O78H9IMT2125UK_03586","O78US_04249"
"group_3224","","hypothetical protein","4","4","1","1","1063","","","","1232","1232","1232","O78H9China_00584","O78H9HPVN24_01018","O78H9IMT2125UK_01027","O78US_01795"
"ansB","","asparaginase II","4","4","1","1","2256","","","","1046","1046","1046","O78H9China_03396","O78H9HPVN24_03140","O78H9IMT2125UK_03231","O78US_03893"
"group_3226","","hypothetical protein","4","4","1","1","1146","","","","233","233","233","O78H9China_00497","O78H9HPVN24_00929","O78H9IMT2125UK_00900","O78US_01667"
"ynjI","","putative inner membrane protein","4","4","1","1","2948","","","","1040","1040","1040","O78H9China_01540","O78H9HPVN24_01840","O78H9IMT2125UK_01874","O78US_02645"
"yfcS","","putative periplasmic pilus chaperone","4","4","1","1","553","","","","752","752","752","O78H9China_01820","O78H9HPVN24_02482","O78H9IMT2125UK_02493","O78US_03251"
"dbpA","","ATP-dependent RNA helicase, specific for 23S rRNA","4","4","1","1","3241","","","","1373","1373","1373","O78H9China_02054","O78H9HPVN24_01443","O78H9IMT2125UK_01467","O78US_02222"
"group_323","","hypothetical protein","4","4","1","1","4154","","","","764","791","784","O78H9China_01175","O78H9HPVN24_04300","O78H9IMT2125UK_04394","O78US_00207"
"thiC","","thiamin biosynthesis protein ThiC","4","4","1","1","4117","","","","1895","1895","1895","O78H9China_04847","O78H9HPVN24_04260","O78H9IMT2125UK_04356","O78US_00163"
"yeiP_1","","putative dehydrogenase, NAD-dependent","4","4","1","1","3621","","","","572","572","572","O78H9China_00404","O78H9HPVN24_02290","O78H9IMT2125UK_02297","O78US_03061"
"yciA","","acyl-CoA thioesterase","4","4","1","1","746","","","","398","398","398","O78H9China_02151","O78H9HPVN24_01345","O78H9IMT2125UK_01365","O78US_02125"
"ynfE","","oxidoreductase subunit","4","4","1","1","3734","","","","2426","2426","2426","O78H9China_01724","O78H9HPVN24_01652","O78H9IMT2125UK_01663","O78US_02461"
"rbsC","","ribose ABC transporter - membrane subunit","4","4","1","1","5198","","","","965","965","965","O78H9China_02564","O78H9HPVN24_04008","O78H9IMT2125UK_04084","O78US_04748"
"yfcC","","putative inner membrane protein; putative S-transferase","4","4","1","1","513","","","","1478","1478","1478","O78H9China_01858","O78H9HPVN24_02444","O78H9IMT2125UK_02452","O78US_03213"
"group_3236","","hypothetical protein","4","4","1","1","45","","","","440","440","440","O78H9China_04095","O78H9HPVN24_04184","O78H9IMT2125UK_04275","O78US_00078"
"ygdB","","putative protein","4","4","1","1","2416","","","","407","407","407","O78H9China_03755","O78H9HPVN24_02977","O78H9IMT2125UK_03065","O78US_03727"
"pitA","","phosphate:H+ symporter PitA","4","4","1","1","1700","","","","1499","1499","1499","O78H9China_02529","O78H9HPVN24_03720","O78H9IMT2125UK_03795","O78US_04456"
"otsA","","trehalose-6-phosphate synthase","4","4","1","1","3075","","","","1424","1424","1424","O78H9China_00074","O78H9HPVN24_01971","O78H9IMT2125UK_02009","O78US_02776"
"manY_1","","mannose PTS permease - ManY subunit","4","4","1","1","4145","","","","731","797","764","O78H9China_01183","O78H9HPVN24_04291","O78H9IMT2125UK_04386","O78US_00199"
"yjjV","","putative DNase","4","4","1","1","4336","","","","782","782","782","O78H9China_01441","O78H9HPVN24_00009","O78H9IMT2125UK_04813","O78US_00697"
"srlE","","glucitol/sorbitol PTS permease - SrlE subunit","4","4","1","1","2542","","","","959","959","959","O78H9China_03837","O78H9HPVN24_02850","O78H9IMT2125UK_02934","O78US_03596"
"menH","","(1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","4","4","1","1","478","","","","758","758","758","O78H9China_01892","O78H9HPVN24_02409","O78H9IMT2125UK_02417","O78US_03179"
"mazG","","nucleoside triphosphate pyrophosphohydrolase","4","4","1","1","2456","","","","791","791","791","O78H9China_03709","O78H9HPVN24_02934","O78H9IMT2125UK_03019","O78US_03681"
"ycgR","","molecular brake that regulates flagellar motility in response to c-di-GMP","4","4","1","1","806","","","","734","734","734","O78H9China_04530","O78H9HPVN24_01280","O78H9IMT2125UK_01299","O78US_02061"
"hycE","","hydrogenase 3, large subunit","4","4","1","1","2521","","","","1709","1709","1709","O78H9China_03858","O78H9HPVN24_02871","O78H9IMT2125UK_02955","O78US_03617"
"ydbC","","putative oxidoreductase, NAD(P)-binding","4","4","1","1","3269","","","","860","860","860","O78H9China_02025","O78H9HPVN24_01472","O78H9IMT2125UK_01496","O78US_02251"
"group_3247","","hypothetical protein","4","4","1","1","3028","","","","290","290","290","O78H9China_00026","O78H9HPVN24_01923","O78H9IMT2125UK_01959","O78US_02728"
"gpmM","","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","4","4","1","1","1569","","","","1544","1544","1544","O78H9China_02713","O78H9HPVN24_03856","O78H9IMT2125UK_03934","O78US_04600"
"ybcL","","DLP12 prophage; predicted kinase inhibitor","4","4","1","1","3110","","","","551","551","551","O78H9China_00112","O78H9HPVN24_02008","O78H9IMT2125UK_02047","O78US_02814"
"yadM","","putative fimbrial-like adhesin protein","4","4","1","1","4055","","","","383","569","476","O78H9China_01265","O78H9HPVN24_00183","O78H9IMT2125UK_00152","O78US_00873"
"rhaR_1","","RhaR transcriptional activator","4","4","1","1","70","","","","938","938","938","O78H9China_04111","O78H9HPVN24_04167","O78H9IMT2125UK_04248","O78US_00061"
"group_3251","","hypothetical protein","4","4","1","1","1215","","","","713","713","713","O78H9China_00429","O78H9HPVN24_00861","O78H9IMT2125UK_00831","O78US_01599"
